window_index,split,n_samples,score_-1,score_0,score_1
0,val,62,0.06005682051181793,0.7947150468826294,0.14522826671600342
1,val,57,0.04835788905620575,0.7866882085800171,0.1649537831544876
2,val,56,0.04403769597411156,0.7832403779029846,0.17272193729877472
3,val,45,0.043482646346092224,0.7723113298416138,0.1842060685157776
4,val,35,0.045536890625953674,0.8583117723464966,0.09615132212638855
5,val,33,0.04137363284826279,0.8645979762077332,0.09402838349342346
6,val,44,0.09336016327142715,0.7548088431358337,0.15183106064796448
7,val,31,0.05025442689657211,0.7940071225166321,0.15573841333389282
8,val,32,0.07141084223985672,0.8159735202789307,0.11261559277772903
9,val,38,0.046700578182935715,0.8282718062400818,0.12502755224704742
10,val,54,0.04556145891547203,0.7879455089569092,0.16649296879768372
11,val,38,0.04752346873283386,0.8134667277336121,0.13900983333587646
12,val,54,0.04803827404975891,0.8563913702964783,0.09557045996189117
13,val,63,0.04818946123123169,0.8148332834243774,0.13697730004787445
14,val,66,0.046865079551935196,0.8318753838539124,0.12125948816537857
15,test,48,0.056134581565856934,0.7795774340629578,0.1642879992723465
16,test,37,0.044392239302396774,0.7941771149635315,0.16143053770065308
17,test,27,0.035888951271772385,0.8112735152244568,0.1528376340866089
18,test,57,0.04438025504350662,0.7983512282371521,0.1572684794664383
19,test,40,0.07666855305433273,0.7924292683601379,0.1309022158384323
20,test,47,0.06112268194556236,0.809645414352417,0.12923191487789154
21,test,52,0.043068673461675644,0.8054518103599548,0.15147939324378967
22,test,32,0.07779756933450699,0.8053131699562073,0.11688926070928574
23,test,50,0.07549434155225754,0.7993344068527222,0.1251712292432785
24,test,74,0.0496540330350399,0.8582433462142944,0.09210260957479477
25,test,63,0.05881699547171593,0.8216761946678162,0.11950671672821045
26,test,34,0.0660405158996582,0.8320034146308899,0.10195605456829071
