window_index,split,n_samples,score_-1,score_1
0,val,120,0.33256441354751587,0.6674355864524841
1,val,102,0.296928733587265,0.7030712962150574
2,val,95,0.31815993785858154,0.6818399429321289
3,val,80,0.3202444016933441,0.6797555685043335
4,val,93,0.34899696707725525,0.6510030031204224
5,val,83,0.3179980516433716,0.6820018887519836
6,val,128,0.32287436723709106,0.6771256923675537
7,val,109,0.34139224886894226,0.6586079001426697
8,val,70,0.3430493474006653,0.6569507122039795
9,val,92,0.3536216616630554,0.6463783383369446
10,val,84,0.3258940279483795,0.6741059422492981
11,val,84,0.33253809809684753,0.6674618721008301
12,val,127,0.3201797902584076,0.6798202395439148
13,val,72,0.30530861020088196,0.6946914196014404
14,val,75,0.31414052844047546,0.6858594417572021
15,test,79,0.3245423138141632,0.6754576563835144
16,test,76,0.3572219908237457,0.6427779197692871
17,test,126,0.29677459597587585,0.7032254338264465
18,test,109,0.2864575982093811,0.7135424613952637
19,test,250,0.34095820784568787,0.6590417623519897
20,test,78,0.33280420303344727,0.667195737361908
21,test,66,0.30494996905326843,0.695050060749054
22,test,74,0.34853509068489075,0.6514648199081421
23,test,62,0.2976323962211609,0.7023675441741943
24,test,91,0.3021267354488373,0.6978732943534851
25,test,57,0.3204295039176941,0.6795704364776611
26,test,47,0.33330073952674866,0.6666991710662842
